OFFICIAL_SYMBOL_A,OFFICIAL_SYMBOL_B,EXPERIMENTAL_SYSTEM
WDR48,SET,Affinity Capture-MS
UBL4A,SGTA,Affinity Capture-MS
BRCC3,SHMT2,Affinity Capture-MS
BRE,SHMT2,Affinity Capture-MS
BABAM1,SHMT2,Affinity Capture-MS
FBXW11,SKP1,Affinity Capture-MS
COPS5,SKP2,Affinity Capture-MS
COPS6,SKP2,Affinity Capture-MS
USP19,SLC1A5,Affinity Capture-MS
USP50,SLC1A5,Affinity Capture-MS
JOSD2,SMARCA2,Affinity Capture-MS
USP7,HLTF,Affinity Capture-MS
USP28,SUMO2,Affinity Capture-MS
STAMBPL1,SNRPA1,Affinity Capture-MS
MARK2,SNTB2,Affinity Capture-MS
DMWD,SRM,Affinity Capture-MS
USP7,SRP68,Affinity Capture-MS
USP19,TRIM21,Affinity Capture-MS
BRE,SSR3,Affinity Capture-MS
WDR48,STK11,Affinity Capture-MS
ZRANB1,STRN,Affinity Capture-MS
WDR48,SUPT6H,Affinity Capture-MS
WDR20,SURF2,Affinity Capture-MS
USP22,TAF9,Affinity Capture-MS
WDR48,TARBP1,Affinity Capture-MS
TAF1D,TBP,Affinity Capture-MS
COPS6,TCEB1,Affinity Capture-MS
PAN2,TCEB1,Affinity Capture-MS
TCEAL1,TCEB1,Affinity Capture-MS
PAN2,TCEB2,Affinity Capture-MS
USP44,TCOF1,Affinity Capture-MS
WDR48,TCOF1,Affinity Capture-MS
FBXW11,TFAP4,Affinity Capture-MS
USP32P2,TGM3,Affinity Capture-MS
USP53,TGM3,Affinity Capture-MS
RAE1,TJP1,Affinity Capture-MS
KCTD13,TNFAIP1,Affinity Capture-MS
OTUD5,TP53,Affinity Capture-MS
USP11,TP53,Affinity Capture-MS
USP39,TP53,Affinity Capture-MS
WDR48,TP53,Affinity Capture-MS
USP28,TP53BP1,Affinity Capture-MS
RAE1,HSP90B1,Affinity Capture-MS
DMWD,TSNAX,Affinity Capture-MS
OTUB1,UBE2D2,Affinity Capture-MS
OTUB1,UBE2N,Affinity Capture-MS
STAMBPL1,UBE2N,Affinity Capture-MS
USP21,UCHL1,Affinity Capture-MS
COPS5,UCHL3,Affinity Capture-MS
COPS6,UCHL3,Affinity Capture-MS
USP20,UCHL3,Affinity Capture-MS
USP13,UFD1L,Affinity Capture-MS
VCPIP1,UFD1L,Affinity Capture-MS
RAE1,UFD1L,Affinity Capture-MS
UBL4A,UFD1L,Affinity Capture-MS
USP50,UMPS,Affinity Capture-MS
USP11,USP4,Affinity Capture-MS
USP1,USP4,Affinity Capture-MS
PHLPP2,USP1,Affinity Capture-MS
PHLPP1,USP1,Affinity Capture-MS
WDR48,USP1,Affinity Capture-MS
USP21,UTRN,Affinity Capture-MS
MARK2,UTRN,Affinity Capture-MS
OTUD5,VARS,Affinity Capture-MS
DMWD,VARS,Affinity Capture-MS
PAN2,VBP1,Affinity Capture-MS
PRPF4,VBP1,Affinity Capture-MS
VCPIP1,VCP,Affinity Capture-MS
PHLPP2,EZR,Affinity Capture-MS
WDR48,WRN,Affinity Capture-MS
TNFAIP3,YWHAB,Affinity Capture-MS
USP43,YWHAB,Affinity Capture-MS
USP32,YWHAB,Affinity Capture-MS
WDR20,YWHAB,Affinity Capture-MS
USP43,YWHAE,Affinity Capture-MS
TNFAIP3,YWHAH,Affinity Capture-MS
USP43,YWHAH,Affinity Capture-MS
USP46,YWHAH,Affinity Capture-MS
MARK2,YWHAH,Affinity Capture-MS
WDR20,YWHAH,Affinity Capture-MS
DMWD,YWHAH,Affinity Capture-MS
USP11,ZNF24,Affinity Capture-MS
USP7,ZNF207,Affinity Capture-MS
USP50,TUBA1A,Affinity Capture-MS
OTUD4,TUBA1A,Affinity Capture-MS
USP32,TUBA1A,Affinity Capture-MS
USP36,IFRD2,Affinity Capture-MS
G3BP1,IFRD2,Affinity Capture-MS
ZRANB1,SLMAP,Affinity Capture-MS
USP11,USP7,Affinity Capture-MS
TCEAL1,USP7,Affinity Capture-MS
TCEAL4,USP7,Affinity Capture-MS
EIF3F,PRRC2A,Affinity Capture-MS
UBL4A,BAG6,Affinity Capture-MS
USP49,SLC39A7,Affinity Capture-MS
WDR48,NELFE,Affinity Capture-MS
G3BP1,NUP214,Affinity Capture-MS
G3BP2,NUP214,Affinity Capture-MS
RAE1,NUP214,Affinity Capture-MS
USP7,CCDC6,Affinity Capture-MS
COPS6,CUL5,Affinity Capture-MS
USP32P2,USP5,Affinity Capture-MS
USP7,AKAP1,Affinity Capture-MS
USP45,SF3A2,Affinity Capture-MS
RAE1,SF3A2,Affinity Capture-MS
USPL1,ELL,Affinity Capture-MS
OTUD5,USP11,Affinity Capture-MS
KLHL13,USP11,Affinity Capture-MS
TCEAL1,USP11,Affinity Capture-MS
TCEAL4,USP11,Affinity Capture-MS
USP13,SMC1A,Affinity Capture-MS
USP32,SMC1A,Affinity Capture-MS
USP13,UBL4A,Affinity Capture-MS
USP22,TRRAP,Affinity Capture-MS
G3BP1,HIST2H2AA3,Affinity Capture-MS
USP16,HIST1H2BL,Affinity Capture-MS
OSBPL9,HIST1H2BL,Affinity Capture-MS
BABAM1,SLC25A11,Affinity Capture-MS
KCTD13,SRPX,Affinity Capture-MS
USP1,TAGLN2,Affinity Capture-MS
COPS5,CUL4B,Affinity Capture-MS
COPS6,CUL4B,Affinity Capture-MS
WDR48,CUL4B,Affinity Capture-MS
COPS5,CUL4A,Affinity Capture-MS
COPS6,CUL4A,Affinity Capture-MS
COPS5,CUL3,Affinity Capture-MS
COPS6,CUL3,Affinity Capture-MS
COPS5,CUL2,Affinity Capture-MS
COPS6,CUL2,Affinity Capture-MS
TCEAL1,CUL2,Affinity Capture-MS
COPS5,CUL1,Affinity Capture-MS
COPS6,CUL1,Affinity Capture-MS
BTRC,CUL1,Affinity Capture-MS
FBXW11,CUL1,Affinity Capture-MS
OSBPL10,CUL1,Affinity Capture-MS
USP22,SUPT3H,Affinity Capture-MS
BAP1,OGT,Affinity Capture-MS
BTRC,OGT,Affinity Capture-MS
FBXW11,OGT,Affinity Capture-MS
USP11,RAE1,Affinity Capture-MS
USP7,RAE1,Affinity Capture-MS
BAP1,HAT1,Affinity Capture-MS
G3BP1,HAT1,Affinity Capture-MS
COPS5,COPS3,Affinity Capture-MS
COPS6,COPS3,Affinity Capture-MS
SPATA2,CASK,Affinity Capture-MS
UIMC1,CASK,Affinity Capture-MS
USP45,RTCA,Affinity Capture-MS
SPATA2,SSNA1,Affinity Capture-MS
BAP1,EIF4EBP3,Affinity Capture-MS
AMOT,DYNLL1,Affinity Capture-MS
BABAM1,TNKS,Affinity Capture-MS
EIF3H,EIF3A,Affinity Capture-MS
EIF3F,EIF3A,Affinity Capture-MS
USP3,EIF3A,Affinity Capture-MS
WDR48,EIF3A,Affinity Capture-MS
EIF3H,EIF3B,Affinity Capture-MS
EIF3F,EIF3B,Affinity Capture-MS
USP3,EIF3B,Affinity Capture-MS
EIF3H,EIF3C,Affinity Capture-MS
EIF3F,EIF3C,Affinity Capture-MS
USP20,EIF3C,Affinity Capture-MS
USP3,EIF3C,Affinity Capture-MS
EIF3H,EIF3D,Affinity Capture-MS
EIF3F,EIF3D,Affinity Capture-MS
USP3,EIF3D,Affinity Capture-MS
EIF3H,EIF3F,Affinity Capture-MS
USP3,EIF3F,Affinity Capture-MS
WDR48,EIF3F,Affinity Capture-MS
EIF3H,EIF3G,Affinity Capture-MS
EIF3F,EIF3G,Affinity Capture-MS
USP3,EIF3G,Affinity Capture-MS
EIF3F,EIF3H,Affinity Capture-MS
USP3,EIF3H,Affinity Capture-MS
WDR48,EIF3H,Affinity Capture-MS
EIF3H,EIF3I,Affinity Capture-MS
EIF3F,EIF3I,Affinity Capture-MS
USP3,EIF3I,Affinity Capture-MS
EIF3H,EIF3J,Affinity Capture-MS
EIF3F,EIF3J,Affinity Capture-MS
USP10,EIF4G3,Affinity Capture-MS
EIF3H,EIF4G3,Affinity Capture-MS
EIF3F,EIF4G3,Affinity Capture-MS
OTUD4,KRT36,Affinity Capture-MS
USP8,KRT36,Affinity Capture-MS
AMOT,MPDZ,Affinity Capture-MS
USP19,SUCLG2,Affinity Capture-MS
DMWD,SUCLG2,Affinity Capture-MS
PSMD14,SUCLA2,Affinity Capture-MS
AMOT,LIN7A,Affinity Capture-MS
USP46,IQGAP1,Affinity Capture-MS
USP7,GMPS,Affinity Capture-MS
BABAM1,GMPS,Affinity Capture-MS
TCEAL1,GMPS,Affinity Capture-MS
KEAP1,SQSTM1,Affinity Capture-MS
UIMC1,NAE1,Affinity Capture-MS
USP42,CPNE3,Affinity Capture-MS
USP39,PRPF4B,Affinity Capture-MS
PRPF4,PRPF4B,Affinity Capture-MS
UIMC1,CPNE1,Affinity Capture-MS
ZRANB1,HERC2,Affinity Capture-MS
USP19,HERC2,Affinity Capture-MS
USP20,HERC2,Affinity Capture-MS
USP16,HERC2,Affinity Capture-MS
USP42,HERC2,Affinity Capture-MS
FBXW11,BTRC,Affinity Capture-MS
DMWD,P4HA2,Affinity Capture-MS
ATXN3,USP13,Affinity Capture-MS
USP5,USP13,Affinity Capture-MS
USP15,SELENBP1,Affinity Capture-MS
TAF1D,TAF1C,Affinity Capture-MS
TAF1D,TAF1B,Affinity Capture-MS
TAF1D,TAF1A,Affinity Capture-MS
UIMC1,UBA3,Affinity Capture-MS
USP39,SART1,Affinity Capture-MS
PRPF4,SART1,Affinity Capture-MS
RAE1,SART1,Affinity Capture-MS
UCHL5,USP14,Affinity Capture-MS
USP7,USP14,Affinity Capture-MS
USP32,USP6,Affinity Capture-MS
G3BP1,USP10,Affinity Capture-MS
G3BP2,USP10,Affinity Capture-MS
USP13,SMC3,Affinity Capture-MS
USP15,PRPF4,Affinity Capture-MS
USP39,PRPF4,Affinity Capture-MS
USP4,PRPF4,Affinity Capture-MS
SART3,PRPF4,Affinity Capture-MS
USP15,PRPF3,Affinity Capture-MS
USP39,PRPF3,Affinity Capture-MS
USP4,PRPF3,Affinity Capture-MS
PRPF4,PRPF3,Affinity Capture-MS
SART3,PRPF3,Affinity Capture-MS
TCEAL1,PDCD5,Affinity Capture-MS
MARK2,ARHGEF2,Affinity Capture-MS
USP11,BUB3,Affinity Capture-MS
USP7,BUB3,Affinity Capture-MS
USP22,DEDD,Affinity Capture-MS
KLHL13,ZMYM4,Affinity Capture-MS
KLHL13,ZMYM6,Affinity Capture-MS
USP20,VAPB,Affinity Capture-MS
OSBPL9,VAPB,Affinity Capture-MS
USP20,VAPA,Affinity Capture-MS
OSBPL9,VAPA,Affinity Capture-MS
COPS5,COPS2,Affinity Capture-MS
COPS6,COPS2,Affinity Capture-MS
KLHL13,COPS2,Affinity Capture-MS
UIMC1,COPS2,Affinity Capture-MS
USP32,TRIP13,Affinity Capture-MS
USP11,TRIP12,Affinity Capture-MS
USP7,TRIP12,Affinity Capture-MS
USP11,TCEAL1,Affinity Capture-MS
USP39,EFTUD2,Affinity Capture-MS
OTUD7B,SLC9A3R2,Affinity Capture-MS
PHLPP2,SLC9A3R2,Affinity Capture-MS
PHLPP1,SLC9A3R2,Affinity Capture-MS
UCHL5,TXNL1,Affinity Capture-MS
USP14,TXNL1,Affinity Capture-MS
USP2,LONP1,Affinity Capture-MS
PHLPP2,SLC9A3R1,Affinity Capture-MS
USP39,ZRANB2,Affinity Capture-MS
USP39,SNRNP40,Affinity Capture-MS
PRPF4,SNRNP40,Affinity Capture-MS
RAE1,TJP2,Affinity Capture-MS
USP39,DDX23,Affinity Capture-MS
PRPF4,DDX23,Affinity Capture-MS
USP30,QKI,Affinity Capture-MS
ZRANB1,MAP4K4,Affinity Capture-MS
USP4,AKAP7,Affinity Capture-MS
EIF3F,EIF4E2,Affinity Capture-MS
USP4,EIF4E2,Affinity Capture-MS
USP17L9P,ADAMTS1,Affinity Capture-MS
OTUD4,FXR2,Affinity Capture-MS
OTUD4,NPEPPS,Affinity Capture-MS
DMWD,NPEPPS,Affinity Capture-MS
BABAM1,VPS4B,Affinity Capture-MS
OTUD4,BAG5,Affinity Capture-MS
UIMC1,BAG5,Affinity Capture-MS
AMOT,BAG3,Affinity Capture-MS
TAF1D,POLR1C,Affinity Capture-MS
USP11,POLR1C,Affinity Capture-MS
WDR20,POLR1C,Affinity Capture-MS
BRCC3,BRE,Affinity Capture-MS
USP7,BRE,Affinity Capture-MS
BABAM1,BRE,Affinity Capture-MS
UIMC1,BRE,Affinity Capture-MS
USP22,PREPL,Affinity Capture-MS
OTUD7B,NUP155,Affinity Capture-MS
DMWD,NUP155,Affinity Capture-MS
WDR48,ARHGEF10,Affinity Capture-MS
ZRANB1,GCC2,Affinity Capture-MS
WDR48,KDM4A,Affinity Capture-MS
COPS5,LRRC14,Affinity Capture-MS
COPS6,LRRC14,Affinity Capture-MS
STAMBPL1,CLINT1,Affinity Capture-MS
STAMBP,CLINT1,Affinity Capture-MS
OSBPL10,CLINT1,Affinity Capture-MS
PAN2,NUP93,Affinity Capture-MS
RAE1,NUP93,Affinity Capture-MS
USP49,PPP6R2,Affinity Capture-MS
USP28,AQR,Affinity Capture-MS
COPS5,VPRBP,Affinity Capture-MS
COPS6,VPRBP,Affinity Capture-MS
MARK2,GPRASP1,Affinity Capture-MS
USP13,FAM115A,Affinity Capture-MS
KEAP1,SLK,Affinity Capture-MS
USP39,DHX38,Affinity Capture-MS
USP42,BMS1,Affinity Capture-MS
USP15,RNF40,Affinity Capture-MS
ZRANB1,KEAP1,Affinity Capture-MS
USP11,KEAP1,Affinity Capture-MS
BTRC,KEAP1,Affinity Capture-MS
OSBPL10,KEAP1,Affinity Capture-MS
CYLD,SPATA2,Affinity Capture-MS
BABAM1,MELK,Affinity Capture-MS
PSMD14,PSMD6,Affinity Capture-MS
PSMD7,PSMD6,Affinity Capture-MS
UCHL5,PSMD6,Affinity Capture-MS
USP14,PSMD6,Affinity Capture-MS
USP20,PSMD6,Affinity Capture-MS
USP46,PJA2,Affinity Capture-MS
USP10,G3BP2,Affinity Capture-MS
USP22,SUPT7L,Affinity Capture-MS
USP21,RBM8A,Affinity Capture-MS
RAE1,RBM8A,Affinity Capture-MS
USP11,NUP153,Affinity Capture-MS
USP20,NUP153,Affinity Capture-MS
WDR48,ZBTB33,Affinity Capture-MS
USP42,RANBP9,Affinity Capture-MS
USP49,HUWE1,Affinity Capture-MS
USP50,HUWE1,Affinity Capture-MS
USP7,HUWE1,Affinity Capture-MS
VCPIP1,HUWE1,Affinity Capture-MS
UBL4A,HUWE1,Affinity Capture-MS
MARK2,COL4A3BP,Affinity Capture-MS
EIF3H,ARPC5,Affinity Capture-MS
USP11,RAD50,Affinity Capture-MS
USP42,RAD50,Affinity Capture-MS
USP53,RAD50,Affinity Capture-MS
COPS6,FEM1B,Affinity Capture-MS
USP19,LRPPRC,Affinity Capture-MS
USP49,LRPPRC,Affinity Capture-MS
BRE,LRPPRC,Affinity Capture-MS
WDR20,OPTN,Affinity Capture-MS
USP10,G3BP1,Affinity Capture-MS
USP20,ATP6AP2,Affinity Capture-MS
USP50,SLC25A13,Affinity Capture-MS
BRE,SLC25A13,Affinity Capture-MS
BABAM1,SLC25A13,Affinity Capture-MS
BAP1,PSME3,Affinity Capture-MS
TAF1D,PSME3,Affinity Capture-MS
USP43,PSME3,Affinity Capture-MS
WDR48,PSME3,Affinity Capture-MS
USP11,MPHOSPH9,Affinity Capture-MS
BABAM1,DDX39A,Affinity Capture-MS
PSMD7,PSMD14,Affinity Capture-MS
UCHL5,PSMD14,Affinity Capture-MS
USP14,PSMD14,Affinity Capture-MS
USP42,MRPS31,Affinity Capture-MS
OTUD4,GPHN,Affinity Capture-MS
PRPF4,GPHN,Affinity Capture-MS
USP11,NET1,Affinity Capture-MS
OSBPL10,SAP18,Affinity Capture-MS
USP30,SF3A1,Affinity Capture-MS
RAE1,SF3A1,Affinity Capture-MS
BABAM1,MICU1,Affinity Capture-MS
USP7,SCML2,Affinity Capture-MS
AMOT,YAP1,Affinity Capture-MS
USP39,CD2BP2,Affinity Capture-MS
BTRC,TUBGCP3,Affinity Capture-MS
FBXW11,TUBGCP3,Affinity Capture-MS
PRPF4,N4BP2L2,Affinity Capture-MS
USP20,ECI2,Affinity Capture-MS
USP15,PPIH,Affinity Capture-MS
USP4,PPIH,Affinity Capture-MS
PRPF4,PPIH,Affinity Capture-MS
SART3,PPIH,Affinity Capture-MS
PRPF4,PFDN6,Affinity Capture-MS
SPATA2,PFDN6,Affinity Capture-MS
USP22,TADA3,Affinity Capture-MS
EIF3H,EIF3M,Affinity Capture-MS
EIF3F,EIF3M,Affinity Capture-MS
WDR48,CRTAP,Affinity Capture-MS
PHLPP2,VAT1,Affinity Capture-MS
USP36,STK25,Affinity Capture-MS
WDR48,UNC13B,Affinity Capture-MS
USP49,IPO7,Affinity Capture-MS
PAN2,CCT7,Affinity Capture-MS
USP39,PRPF8,Affinity Capture-MS
PRPF4,PRPF8,Affinity Capture-MS
USP12,PAIP1,Affinity Capture-MS
USP36,TBL3,Affinity Capture-MS
OTUB1,STAMBP,Affinity Capture-MS
USP11,IVNS1ABP,Affinity Capture-MS
USP22,TAF6L,Affinity Capture-MS
USP12,RAD51AP1,Affinity Capture-MS
USP46,RAD51AP1,Affinity Capture-MS
WDR48,RAD51AP1,Affinity Capture-MS
USP10,CELF1,Affinity Capture-MS
USP45,FARS2,Affinity Capture-MS
G3BP2,FARS2,Affinity Capture-MS
USP3,GNA13,Affinity Capture-MS
USP12,USP39,Affinity Capture-MS
PRPF4,USP39,Affinity Capture-MS
CYLD,MGEA5,Affinity Capture-MS
BTRC,NUDC,Affinity Capture-MS
FBXW11,NUDC,Affinity Capture-MS
PRPF4,KDM5B,Affinity Capture-MS
JOSD2,AHCYL1,Affinity Capture-MS
USP42,AHCYL1,Affinity Capture-MS
WDR48,AHCYL1,Affinity Capture-MS
BTRC,TUBGCP2,Affinity Capture-MS
BTRC,CLPX,Affinity Capture-MS
FBXW11,CLPX,Affinity Capture-MS
BABAM1,CLPX,Affinity Capture-MS
USP21,USP20,Affinity Capture-MS
USP7,USP19,Affinity Capture-MS
USP36,WDR3,Affinity Capture-MS
USP43,WDR3,Affinity Capture-MS
USP39,TXNL4A,Affinity Capture-MS
PRPF4,TXNL4A,Affinity Capture-MS
PHLPP1,SUGT1,Affinity Capture-MS
COPS5,COPS8,Affinity Capture-MS
COPS6,COPS8,Affinity Capture-MS
RAE1,COPS8,Affinity Capture-MS
USP50,AFG3L2,Affinity Capture-MS
MARK2,C11orf58,Affinity Capture-MS
WDR48,C11orf58,Affinity Capture-MS
RAE1,SF3A3,Affinity Capture-MS
BAP1,CBX1,Affinity Capture-MS
USP17L2,CBX1,Affinity Capture-MS
USP49,STIP1,Affinity Capture-MS
USP50,CKAP4,Affinity Capture-MS
EIF3F,ASCC3,Affinity Capture-MS
OTUD6B,ASCC3,Affinity Capture-MS
G3BP1,ASCC3,Affinity Capture-MS
G3BP2,ASCC3,Affinity Capture-MS
COPS5,COPS6,Affinity Capture-MS
RAE1,COPS6,Affinity Capture-MS
USP19,GCN1L1,Affinity Capture-MS
COPS6,COPS5,Affinity Capture-MS
EIF3F,IMMT,Affinity Capture-MS
USP39,SNRNP27,Affinity Capture-MS
PRPF4,SNRNP27,Affinity Capture-MS
PSMD7,ADRM1,Affinity Capture-MS
UCHL5,ADRM1,Affinity Capture-MS
USP14,ADRM1,Affinity Capture-MS
RAE1,NUPL2,Affinity Capture-MS
RAE1,ATE1,Affinity Capture-MS
USP49,KRR1,Affinity Capture-MS
USP33,KRR1,Affinity Capture-MS
USP44,KRR1,Affinity Capture-MS
G3BP1,FAF1,Affinity Capture-MS
RAE1,FAF1,Affinity Capture-MS
USP7,KIF3A,Affinity Capture-MS
RAE1,POLR3A,Affinity Capture-MS
DMWD,CDC37,Affinity Capture-MS
USP15,LSM6,Affinity Capture-MS
USP4,LSM6,Affinity Capture-MS
PRPF4,LSM6,Affinity Capture-MS
SART3,LSM6,Affinity Capture-MS
BRCC3,SUPT16H,Affinity Capture-MS
RAE1,DDX19B,Affinity Capture-MS
G3BP1,ATXN2L,Affinity Capture-MS
G3BP2,ATXN2L,Affinity Capture-MS
USP19,PARK7,Affinity Capture-MS
BABAM1,PARK7,Affinity Capture-MS
WDR48,GPN1,Affinity Capture-MS
BAP1,CBX3,Affinity Capture-MS
KCTD13,LAMB4,Affinity Capture-MS
KEAP1,COPG1,Affinity Capture-MS
TNFAIP3,CNKSR2,Affinity Capture-MS
USP49,PPP6R1,Affinity Capture-MS
BABAM1,DIS3,Affinity Capture-MS
USP45,RALY,Affinity Capture-MS
USP22,CNOT1,Affinity Capture-MS
USP39,SNRNP200,Affinity Capture-MS
USP12,PHLPP2,Affinity Capture-MS
USP46,PHLPP2,Affinity Capture-MS
PHLPP1,PHLPP2,Affinity Capture-MS
WDR48,PHLPP2,Affinity Capture-MS
USP3,WDTC1,Affinity Capture-MS
USP46,ERP44,Affinity Capture-MS
USP32,ERP44,Affinity Capture-MS
UIMC1,ERP44,Affinity Capture-MS
USP11,MYCBP2,Affinity Capture-MS
RAE1,MYCBP2,Affinity Capture-MS
WDR48,MYCBP2,Affinity Capture-MS
KEAP1,VWA8,Affinity Capture-MS
MARK2,CLASP2,Affinity Capture-MS
BRE,ATG2A,Affinity Capture-MS
USP20,N4BP3,Affinity Capture-MS
USP50,NUP205,Affinity Capture-MS
BRCC3,FAM175B,Affinity Capture-MS
USP7,FAM175B,Affinity Capture-MS
BRE,FAM175B,Affinity Capture-MS
BABAM1,FAM175B,Affinity Capture-MS
UIMC1,FAM175B,Affinity Capture-MS
FBXW11,ATG4B,Affinity Capture-MS
USP13,FAF2,Affinity Capture-MS
VCPIP1,FAF2,Affinity Capture-MS
UBL4A,FAF2,Affinity Capture-MS
MARK2,PMPCA,Affinity Capture-MS
USP12,PHLPP1,Affinity Capture-MS
USP46,PHLPP1,Affinity Capture-MS
USP1,PHLPP1,Affinity Capture-MS
MARK2,PHLPP1,Affinity Capture-MS
WDR48,PHLPP1,Affinity Capture-MS
DMWD,PHLPP1,Affinity Capture-MS
USP21,ANKRD28,Affinity Capture-MS
USP49,ANKRD28,Affinity Capture-MS
WDR48,BOP1,Affinity Capture-MS
MARK2,MTCL1,Affinity Capture-MS
USP22,POFUT2,Affinity Capture-MS
COPS5,KLHL18,Affinity Capture-MS
COPS6,KLHL18,Affinity Capture-MS
USP12,NUP160,Affinity Capture-MS
USP19,NUP160,Affinity Capture-MS
USP37,FBXW11,Affinity Capture-MS
BTRC,FBXW11,Affinity Capture-MS
ZRANB1,BICD2,Affinity Capture-MS
MARK2,KIF13B,Affinity Capture-MS
USP11,KIAA0930,Affinity Capture-MS
USP8,USP22,Affinity Capture-MS
AMOT,NEDD4L,Affinity Capture-MS
BRE,TTC28,Affinity Capture-MS
USP39,RRP8,Affinity Capture-MS
USPL1,ICE1,Affinity Capture-MS
BAP1,AHCYL2,Affinity Capture-MS
JOSD2,AHCYL2,Affinity Capture-MS
WDR48,AHCYL2,Affinity Capture-MS
KLHL13,NUDCD3,Affinity Capture-MS
USP49,DICER1,Affinity Capture-MS
USP22,SIRT1,Affinity Capture-MS
USP3,RIMBP2,Affinity Capture-MS
G3BP1,NUP188,Affinity Capture-MS
RAE1,NUP188,Affinity Capture-MS
PHLPP1,SCRIB,Affinity Capture-MS
DMWD,SCRIB,Affinity Capture-MS
USP42,SRRM2,Affinity Capture-MS
OSBPL10,SRRM2,Affinity Capture-MS
USP19,TNPO3,Affinity Capture-MS
OTUB1,CASP14,Affinity Capture-MS
USP53,CASP14,Affinity Capture-MS
USP45,CORO1C,Affinity Capture-MS
G3BP1,NUP62,Affinity Capture-MS
G3BP2,NUP62,Affinity Capture-MS
RAE1,NUP62,Affinity Capture-MS
RAE1,POLA2,Affinity Capture-MS
RAE1,PRKD3,Affinity Capture-MS
USP19,FKBP8,Affinity Capture-MS
BRE,FKBP8,Affinity Capture-MS
USP33,IFIT5,Affinity Capture-MS
DMWD,FTSJ1,Affinity Capture-MS
USP39,PRPF6,Affinity Capture-MS
PRPF4,PRPF6,Affinity Capture-MS
USP20,SUN2,Affinity Capture-MS
BTRC,SUN2,Affinity Capture-MS
FBXW11,SUN2,Affinity Capture-MS
COPS6,FBXO7,Affinity Capture-MS
USP15,LSM4,Affinity Capture-MS
USP4,LSM4,Affinity Capture-MS
PRPF4,LSM4,Affinity Capture-MS
SART3,LSM4,Affinity Capture-MS
FBXW11,ARIH1,Affinity Capture-MS
BABAM1,PRDX5,Affinity Capture-MS
ZRANB1,HECTD1,Affinity Capture-MS
ZRANB1,MOB4,Affinity Capture-MS
RAE1,ARMC8,Affinity Capture-MS
STAMBPL1,USP49,Affinity Capture-MS
RAE1,PRKD2,Affinity Capture-MS
G3BP2,C3orf17,Affinity Capture-MS
SART3,C3orf17,Affinity Capture-MS
TAF1D,POLR1A,Affinity Capture-MS
USP11,POLR1A,Affinity Capture-MS
USP50,MTHFD1L,Affinity Capture-MS
USP22,CNOT10,Affinity Capture-MS
BRE,DHRS7B,Affinity Capture-MS
USP11,SIPA1L1,Affinity Capture-MS
USP30,SS18L1,Affinity Capture-MS
BAP1,ANKRD17,Affinity Capture-MS
USP11,GIGYF2,Affinity Capture-MS
COPS5,DCAF4,Affinity Capture-MS
COPS6,DCAF4,Affinity Capture-MS
USP7,DCAF4,Affinity Capture-MS
USP15,PRPF31,Affinity Capture-MS
USP39,PRPF31,Affinity Capture-MS
USP4,PRPF31,Affinity Capture-MS
PRPF4,PRPF31,Affinity Capture-MS
SART3,PRPF31,Affinity Capture-MS
ZRANB1,FGFR1OP2,Affinity Capture-MS
COPS5,FBXO22,Affinity Capture-MS
COPS6,FBXO22,Affinity Capture-MS
TNFAIP3,FBXO3,Affinity Capture-MS
OTUD4,MYCBP,Affinity Capture-MS
USP44,TBL2,Affinity Capture-MS
WDR48,AP3M1,Affinity Capture-MS
DMWD,TRMT2A,Affinity Capture-MS
USP19,LAT,Affinity Capture-MS
USP22,SND1,Affinity Capture-MS
USP22,TAF5L,Affinity Capture-MS
OTUD5,CACYBP,Affinity Capture-MS
ZRANB1,CACYBP,Affinity Capture-MS
USP13,CACYBP,Affinity Capture-MS
OTUB1,CPNE7,Affinity Capture-MS
USP53,CPNE7,Affinity Capture-MS
BABAM1,VPS4A,Affinity Capture-MS
FBXW11,PDCD4,Affinity Capture-MS
COPS6,KLHL20,Affinity Capture-MS
USP42,DIMT1,Affinity Capture-MS
USP45,RBMX,Affinity Capture-MS
EIF3H,EIF3K,Affinity Capture-MS
EIF3F,EIF3K,Affinity Capture-MS
USP45,IGKV4-1,Affinity Capture-MS
OTUD7B,ACAD9,Affinity Capture-MS
BRCC3,BABAM1,Affinity Capture-MS
USP7,BABAM1,Affinity Capture-MS
BRE,BABAM1,Affinity Capture-MS
SPATA2,BABAM1,Affinity Capture-MS
UIMC1,BABAM1,Affinity Capture-MS
UIMC1,SSU72,Affinity Capture-MS
TNFAIP3,TBK1,Affinity Capture-MS
USP45,TMOD3,Affinity Capture-MS
UCHL5,TFPT,Affinity Capture-MS
ZRANB1,STRN4,Affinity Capture-MS
USP36,GNL2,Affinity Capture-MS
G3BP1,GNL2,Affinity Capture-MS
G3BP2,GNL2,Affinity Capture-MS
USP11,SEC61A1,Affinity Capture-MS
USP19,SEC61A1,Affinity Capture-MS
ZRANB1,STRN3,Affinity Capture-MS
USP45,GLTSCR2,Affinity Capture-MS
UIMC1,GLTSCR2,Affinity Capture-MS
OSBPL9,WRAP73,Affinity Capture-MS
COPS5,COPS7A,Affinity Capture-MS
COPS6,COPS7A,Affinity Capture-MS
TAF1D,RRP15,Affinity Capture-MS
USP2,RRP15,Affinity Capture-MS
SART3,RRP15,Affinity Capture-MS
